event,mid,best_ask,best_bid,buy_market_vol,sell_market_vol,buy_limit_vol,sell_limit_vol,buy_cancel_vol,sell_cancel_vol,lvl0_ask_p,lvl0_ask_v,lvl0_bid_p,lvl0_bid_v,lvl1_ask_p,lvl1_ask_v,lvl1_bid_p,lvl1_bid_v,lvl2_ask_p,lvl2_ask_v,lvl2_bid_p,lvl2_bid_v,lvl3_ask_p,lvl3_ask_v,lvl3_bid_p,lvl3_bid_v,lvl4_ask_p,lvl4_ask_v,lvl4_bid_p,lvl4_bid_v,lvl5_ask_p,lvl5_ask_v,lvl5_bid_p,lvl5_bid_v,lvl6_ask_p,lvl6_ask_v,lvl6_bid_p,lvl6_bid_v,lvl7_ask_p,lvl7_ask_v,lvl7_bid_p,lvl7_bid_v,lvl8_ask_p,lvl8_ask_v,lvl8_bid_p,lvl8_bid_v,lvl9_ask_p,lvl9_ask_v,lvl9_bid_p,lvl9_bid_v
34,12.355,12.38,12.33,34.0,11.0,10.0,20.0,58.0,69.0,12.38,6400.0,12.33,5900.0,12.39,6300.0,12.32,14100.0,12.4,18000.0,12.31,14400.0,12.41,10200.0,12.3,4000.0,12.42,3700.0,12.29,16400.0,12.43,13800.0,12.28,10600.0,12.44,11900.0,12.27,17100.0,12.45,16400.0,12.26,2600.0,12.46,8500.0,12.25,1800.0,12.47,8300.0,12.24,13100.0
35,12.360001,12.37,12.35,18.0,8.0,50.0,33.0,59.0,9.0,12.37,4900.0,12.35,3800.0,12.38,10300.0,12.34,10900.0,12.39,14500.0,12.33,1200.0,12.4,5700.0,12.32,15800.0,12.41,13900.0,12.31,18000.0,12.42,16400.0,12.3,16900.0,12.43,10700.0,12.29,19200.0,12.44,8900.0,12.28,18100.0,12.45,8400.0,12.27,9400.0,12.46,14000.0,12.26,8500.0
36,12.360001,12.37,12.35,60.0,40.0,27.0,49.0,12.0,52.0,12.37,3700.0,12.35,18000.0,12.38,9600.0,12.34,18600.0,12.39,8500.0,12.33,19400.0,12.4,12400.0,12.32,15500.0,12.41,15300.0,12.31,4800.0,12.42,16400.0,12.3,18900.0,12.43,13500.0,12.29,18900.0,12.44,17000.0,12.28,13600.0,12.45,10000.0,12.27,17200.0,12.46,4500.0,12.26,11600.0
37,12.355,12.38,12.33,66.0,24.0,79.0,63.0,73.0,23.0,12.38,16400.0,12.33,18900.0,12.39,6000.0,12.32,2700.0,12.4,7300.0,12.31,17400.0,12.41,10900.0,12.3,2000.0,12.42,3200.0,12.29,7400.0,12.43,7500.0,12.28,3500.0,12.44,10300.0,12.27,10100.0,12.45,4700.0,12.26,5400.0,12.46,13600.0,12.25,19000.0,12.47,19900.0,12.24,11600.0
38,12.35,12.37,12.33,54.0,70.0,35.0,16.0,50.0,16.0,12.37,1700.0,12.33,18000.0,12.38,19000.0,12.32,6200.0,12.39,8600.0,12.31,1400.0,12.4,16200.0,12.3,15700.0,12.41,1300.0,12.29,14300.0,12.42,8800.0,12.28,11300.0,12.43,5100.0,12.27,16400.0,12.44,8600.0,12.26,16900.0,12.45,3800.0,12.25,12100.0,12.46,6800.0,12.24,19300.0
39,12.360001,12.38,12.34,15.0,5.0,45.0,21.0,25.0,69.0,12.38,11500.0,12.34,14600.0,12.39,2600.0,12.33,13800.0,12.4,2900.0,12.32,7800.0,12.41,5200.0,12.31,1000.0,12.42,12100.0,12.3,5500.0,12.43,10700.0,12.29,15500.0,12.44,4300.0,12.28,14400.0,12.45,6600.0,12.27,7200.0,12.46,11900.0,12.26,12800.0,12.47,13400.0,12.25,4700.0
40,12.355,12.36,12.35,62.0,29.0,56.0,51.0,51.0,6.0,12.36,12000.0,12.35,6000.0,12.37,6200.0,12.34,19000.0,12.38,2900.0,12.33,8800.0,12.39,9300.0,12.32,5600.0,12.4,15900.0,12.31,10200.0,12.41,14600.0,12.3,8300.0,12.42,18000.0,12.29,14800.0,12.43,7300.0,12.28,19200.0,12.44,17400.0,12.27,12200.0,12.45,1300.0,12.26,12200.0
41,12.355,12.37,12.34,29.0,23.0,64.0,29.0,5.0,45.0,12.37,14100.0,12.34,7900.0,12.38,3700.0,12.33,11700.0,12.39,16200.0,12.32,7000.0,12.4,9600.0,12.31,1000.0,12.41,14300.0,12.3,17400.0,12.42,15700.0,12.29,9100.0,12.43,1800.0,12.28,10300.0,12.44,18800.0,12.27,2500.0,12.45,5000.0,12.26,16900.0,12.46,11700.0,12.25,4200.0
42,12.355,12.37,12.34,78.0,47.0,4.0,77.0,67.0,62.0,12.37,1400.0,12.34,8800.0,12.38,12300.0,12.33,16900.0,12.39,17700.0,12.32,9600.0,12.4,9000.0,12.31,18600.0,12.41,15700.0,12.3,4900.0,12.42,13900.0,12.29,14500.0,12.43,5400.0,12.28,19500.0,12.44,6600.0,12.27,11400.0,12.45,10300.0,12.26,14100.0,12.46,18100.0,12.25,8400.0
43,12.360001,12.37,12.35,30.0,23.0,28.0,23.0,34.0,77.0,12.37,8300.0,12.35,15200.0,12.38,19000.0,12.34,18200.0,12.39,15300.0,12.33,14300.0,12.4,15600.0,12.32,18700.0,12.41,1200.0,12.31,12100.0,12.42,1600.0,12.3,11900.0,12.43,8400.0,12.29,6700.0,12.44,17900.0,12.28,14400.0,12.45,11700.0,12.27,17700.0,12.46,2800.0,12.26,13200.0
44,12.360001,12.38,12.34,48.0,75.0,0.0,2.0,4.0,37.0,12.38,3900.0,12.34,5400.0,12.39,4500.0,12.33,11300.0,12.4,12900.0,12.32,15300.0,12.41,9300.0,12.31,18800.0,12.42,8000.0,12.3,3900.0,12.43,1600.0,12.29,3400.0,12.44,9400.0,12.28,8800.0,12.45,17200.0,12.27,3300.0,12.46,5900.0,12.26,19600.0,12.47,1500.0,12.25,9000.0
45,12.355,12.38,12.33,31.0,4.0,5.0,54.0,75.0,13.0,12.38,4700.0,12.33,11100.0,12.39,19400.0,12.32,5300.0,12.4,8000.0,12.31,9500.0,12.41,16100.0,12.3,19700.0,12.42,2800.0,12.29,10200.0,12.43,15200.0,12.28,1100.0,12.44,16300.0,12.27,5600.0,12.45,10800.0,12.26,19500.0,12.46,13000.0,12.25,19700.0,12.47,12400.0,12.24,4900.0
46,12.360001,12.37,12.35,70.0,5.0,38.0,60.0,34.0,35.0,12.37,14100.0,12.35,12600.0,12.38,6900.0,12.34,2400.0,12.39,13300.0,12.33,11900.0,12.4,15600.0,12.32,3300.0,12.41,11200.0,12.31,16500.0,12.42,17900.0,12.3,18800.0,12.43,5000.0,12.29,4200.0,12.44,11900.0,12.28,9700.0,12.45,5400.0,12.27,2900.0,12.46,3700.0,12.26,7400.0
47,12.37,12.38,12.36,6.0,71.0,32.0,73.0,54.0,60.0,12.38,15000.0,12.36,2200.0,12.39,2900.0,12.35,6000.0,12.4,17600.0,12.34,19800.0,12.41,9300.0,12.33,1800.0,12.42,1200.0,12.32,17300.0,12.43,9400.0,12.31,2400.0,12.44,16800.0,12.3,11000.0,12.45,7600.0,12.29,9500.0,12.46,5200.0,12.28,18600.0,12.47,15900.0,12.27,4700.0
48,12.37,12.38,12.36,78.0,42.0,57.0,21.0,60.0,41.0,12.38,14900.0,12.36,4400.0,12.39,9600.0,12.35,15200.0,12.4,1600.0,12.34,14700.0,12.41,5200.0,12.33,14200.0,12.42,10400.0,12.32,1400.0,12.43,15400.0,12.31,5900.0,12.44,19000.0,12.3,16900.0,12.45,4600.0,12.29,12400.0,12.46,7800.0,12.28,12400.0,12.47,11500.0,12.27,6600.0
49,12.365,12.39,12.34,67.0,67.0,53.0,65.0,2.0,67.0,12.39,13300.0,12.34,5900.0,12.4,18200.0,12.33,18900.0,12.41,4100.0,12.32,14800.0,12.42,18600.0,12.31,3400.0,12.43,15000.0,12.3,18800.0,12.44,5200.0,12.29,12000.0,12.45,16100.0,12.28,7300.0,12.46,5500.0,12.27,8500.0,12.47,7300.0,12.26,14700.0,12.48,8000.0,12.25,8100.0
50,12.365,12.37,12.36,2.0,36.0,73.0,77.0,30.0,54.0,12.37,18900.0,12.36,11900.0,12.38,18600.0,12.35,14400.0,12.39,17800.0,12.34,4700.0,12.4,18800.0,12.33,18900.0,12.41,1700.0,12.32,7700.0,12.42,8800.0,12.31,8900.0,12.43,15700.0,12.3,14200.0,12.44,5000.0,12.29,12500.0,12.45,19500.0,12.28,9300.0,12.46,18600.0,12.27,13300.0
51,12.365,12.39,12.34,17.0,74.0,20.0,47.0,78.0,76.0,12.39,18500.0,12.34,18100.0,12.4,1300.0,12.33,16200.0,12.41,4500.0,12.32,16600.0,12.42,16300.0,12.31,5900.0,12.43,2200.0,12.3,8900.0,12.44,6700.0,12.29,11500.0,12.45,2500.0,12.28,1800.0,12.46,9300.0,12.27,15600.0,12.47,6900.0,12.26,7100.0,12.48,4100.0,12.25,6300.0
52,12.370001,12.39,12.35,26.0,37.0,43.0,20.0,44.0,49.0,12.39,6600.0,12.35,5900.0,12.4,7500.0,12.34,6300.0,12.41,13900.0,12.33,7400.0,12.42,15300.0,12.32,12400.0,12.43,13100.0,12.31,12000.0,12.44,18500.0,12.3,5800.0,12.45,19600.0,12.29,4900.0,12.46,3600.0,12.28,16700.0,12.47,18000.0,12.27,2700.0,12.48,12300.0,12.26,10700.0
53,12.355,12.37,12.34,29.0,59.0,11.0,42.0,43.0,12.0,12.37,5100.0,12.34,10800.0,12.38,14000.0,12.33,11900.0,12.39,10800.0,12.32,17800.0,12.4,5200.0,12.31,12800.0,12.41,7000.0,12.3,19400.0,12.42,5700.0,12.29,17500.0,12.43,13000.0,12.28,5000.0,12.44,15400.0,12.27,5500.0,12.45,5900.0,12.26,7500.0,12.46,13900.0,12.25,8400.0
54,12.355,12.37,12.34,46.0,79.0,34.0,53.0,77.0,5.0,12.37,11800.0,12.34,11500.0,12.38,4700.0,12.33,5400.0,12.39,6800.0,12.32,5200.0,12.4,18400.0,12.31,8200.0,12.41,8600.0,12.3,13700.0,12.42,15900.0,12.29,14000.0,12.43,11400.0,12.28,19500.0,12.44,18000.0,12.27,4800.0,12.45,4000.0,12.26,8400.0,12.46,16800.0,12.25,19300.0
55,12.355,12.38,12.33,50.0,60.0,8.0,68.0,31.0,42.0,12.38,14300.0,12.33,14100.0,12.39,5400.0,12.32,12200.0,12.4,4500.0,12.31,11200.0,12.41,4600.0,12.3,2400.0,12.42,19300.0,12.29,17900.0,12.43,14000.0,12.28,12800.0,12.44,5500.0,12.27,11800.0,12.45,15200.0,12.26,11200.0,12.46,6300.0,12.25,8400.0,12.47,16900.0,12.24,5800.0
56,12.360001,12.38,12.34,13.0,20.0,73.0,38.0,36.0,76.0,12.38,19200.0,12.34,15300.0,12.39,17900.0,12.33,10600.0,12.4,5200.0,12.32,1600.0,12.41,11100.0,12.31,8500.0,12.42,3100.0,12.3,18600.0,12.43,19400.0,12.29,8100.0,12.44,13600.0,12.28,8800.0,12.45,10400.0,12.27,12800.0,12.46,8900.0,12.26,16200.0,12.47,4500.0,12.25,13700.0
57,12.37,12.38,12.36,64.0,62.0,42.0,75.0,39.0,32.0,12.38,19600.0,12.36,17100.0,12.39,1800.0,12.35,3100.0,12.4,12900.0,12.34,18500.0,12.41,17000.0,12.33,18100.0,12.42,3800.0,12.32,10800.0,12.43,14700.0,12.31,12800.0,12.44,15700.0,12.3,5000.0,12.45,9600.0,12.29,9500.0,12.46,18800.0,12.28,4800.0,12.47,7200.0,12.27,1400.0
58,12.355,12.36,12.35,0.0,30.0,5.0,24.0,70.0,3.0,12.36,3800.0,12.35,19600.0,12.37,17100.0,12.34,5900.0,12.38,14300.0,12.33,12200.0,12.39,18200.0,12.32,6700.0,12.4,19800.0,12.31,8000.0,12.41,14600.0,12.3,8500.0,12.42,13700.0,12.29,7300.0,12.43,17000.0,12.28,13100.0,12.44,6400.0,12.27,19200.0,12.45,14400.0,12.26,9100.0
